1.293,1.101,1.1122
1.7037,1.4803,1.3561
1.1962,1.741,1.4973
1.3461,1.2163,1.2559
1.6909,1.4885,1.0933
1.3917,1.6898,1.6307
1.136,1.0642,1.3794
1.5343,1.4424,1.2375
1.5736,1.3876,1.5452
1.371,1.3094,1.2175
1.1721,1.6305,1.1701
1.3472,1.6907,1.4918
1.4017,1.1447,1.3402
1.467,1.4854,1.2783
1.4428,1.3799,1.6532
1.137,1.5439,1.0064
1.4624,1.7473,1.6935
1.664,1.5974,1.6147
1.3186,1.2238,1.0977
1.7187,1.343,1.4331
1.6286,1.5352,1.2646
1.3459,1.6815,1.2632
1.3909,1.6902,1.6457
1.2209,1.3523,1.0949
1.6236,1.6027,1.3226
2.5142,2.1621,2.5832
2.7422,2.9688,2.3229
2.2032,2.9018,2.7078
2.7208,2.4125,2.9635
2.9233,3.0508,2.0322
2.5156,2.0878,2.0638
2.7044,2.1767,2.7523
2.249,2.1512,2.5017
2.0841,3.2249,2.7233
2.0178,2.8554,3.0218
3.0863,2.4155,2.7439
3.0944,2.2487,2.4443
2.5814,2.3899,2.107
2.4088,2.2291,2.938
2.9372,2.2541,2.9639
2.4644,3.0239,2.4675
2.5661,2.473,2.6945
2.3678,2.588,2.7672
3.2318,2.5372,3.0999
2.4119,3.192,2.7167
2.4974,2.1837,2.3476
2.9429,2.6313,2.8432
2.2379,2.1221,2.3064
3.0272,2.4968,2.269
2.1032,2.203,3.22
2.6036,3.1907,2.1469
2.8323,3.02,2.518
2.1553,2.2005,2.431
2.9261,2.4402,2.1395
2.1495,2.8938,2.9401
2.138,3.1925,2.5393
2.7774,2.1344,2.1225
3.0135,2.9947,3.078
2.0771,2.5312,2.9406
3.2208,2.1315,2.4481
2.9265,2.438,2.7084
2.8407,3.0244,2.8873
2.4109,2.7753,2.7088
3.1091,2.9236,2.7322
3.0983,2.7043,2.3673
2.0177,3.0029,2.4773
2.3586,3.2392,2.6597
2.4412,2.5638,3.173
2.2378,2.4593,2.0991
2.0566,2.6067,3.0549
2.3332,2.2722,2.3175
2.1991,2.4134,3.0058
2.7117,2.8632,2.9296
2.2672,3.02,2.3991
2.5839,2.4262,2.8707
3.7341,3.2435,3.1274
3.1392,3.6139,3.6076
3.0103,3.2444,3.1307
3.2792,3.0089,3.0506
3.2077,3.3074,3.5399
3.5676,3.1194,3.4881
3.3083,3.5408,3.5481
3.1729,3.1386,3.6546
3.7336,3.7017,3.073
3.1828,3.7284,3.3856
3.1156,3.3889,3.5948
3.1118,3.3776,3.5171
3.6923,3.4374,3.7406
3.3802,3.5975,3.481
3.1087,3.7446,3.5828
3.7015,3.1167,3.5303
3.2423,3.4534,3.1769
3.4364,3.6436,3.3877
3.0218,3.3853,3.3659
3.557,3.3601,3.0454
3.3682,3.3923,3.6437
3.1254,3.377,3.4354
3.3239,3.313,3.2326
3.278,3.3809,3.0432
3.7069,3.3953,3.6634
